TITLE,candidate_name,direct_langs_found_count,direct_langs_found,all_wiki_langs_count,all_wiki_langs,timestamp_utc,exists_en,title_en,exists_it,title_it,exists_de,title_de,exists_fr,title_fr,exists_nl,title_nl,exists_es,title_es
Pope Paul III,Paul III,2,"en,fr",83,"af,ar,arz,az,bcl,be,be-tarask,bg,br,ca,cdo,cs,cy,da,de,diq,el,en,eo,es,et,eu,fa,fi,fr,fur,ga,gd,gl,gsw,hak,he,hr,hu,id,ilo,io,it,ja,jv,ka,ko,ku,la,lt,lv,lzh,mg,mk,mr,ms,nan,nb,nds,nl,pl,pt,qu,ro,ru,scn,sco,sh,simple,sk,sl,sq,sr,sv,sw,ta,th,tl,tr,uk,ur,vec,vi,war,wuu,yo,yue,zh",2025-08-28T10:19:53Z,TRUE,Pope Paul III,FALSE,,FALSE,,TRUE,Paul III,FALSE,,FALSE,
Portrait of an Unknown Man with Red Beret,An Unknown Man With Red Beret,0,,0,,2025-08-28T10:19:59Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of an Unknown Man with Red Beret,Portrait of,0,,0,,2025-08-28T10:20:06Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of an Unknown Man with Red Beret,Unknown Man,0,,0,,2025-08-28T10:20:13Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of an Unknown Man with Red Beret,Red Beret,1,en,4,"az,en,th,tr",2025-08-28T10:20:20Z,TRUE,Red beret,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"Jane Seymour, Queen of England","Jane Seymour, Queen of England",1,en,60,"af,ang,ar,ast,az,azb,be,bg,br,bs,ca,ckb,cs,cy,da,de,el,en,eo,es,et,eu,fa,fi,fr,ga,gl,he,hr,hu,hy,id,io,it,ja,ka,ko,la,mk,ms,mwl,nb,nl,pl,pt,ro,ru,sh,simple,sk,sl,sr,sv,th,tl,tr,uk,vi,war,zh",2025-08-28T10:20:26Z,TRUE,Jane Seymour,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"Jane Seymour, Queen of England",Jane Seymour,6,"en,it,de,fr,nl,es",60,"af,ang,ar,ast,az,azb,be,bg,br,bs,ca,ckb,cs,cy,da,de,el,en,eo,es,et,eu,fa,fi,fr,ga,gl,he,hr,hu,hy,id,io,it,ja,ka,ko,la,mk,ms,mwl,nb,nl,pl,pt,ro,ru,sh,simple,sk,sl,sr,sv,th,tl,tr,uk,vi,war,zh",2025-08-28T10:20:30Z,TRUE,Jane Seymour,TRUE,Jane Seymour,TRUE,Jane Seymour,TRUE,Jane Seymour,TRUE,Jane Seymour,TRUE,Jane Seymour
The Sick Man,The Sick Man,0,,0,,2025-08-28T10:20:37Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Burkard von Speyer,Burkard von Speyer,0,,0,,2025-08-28T10:20:43Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Portrait of Burkard von Speyer,Portrait of Burkard von Speyer,0,,0,,2025-08-28T10:20:50Z,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
