Condition,headYaw,headPitch,gazeYaw,gazePitch,rand,ID,Confidence2
Religion,10.71431077,9.568395179,-16.95955074,9.625690958,0.232303267,15,1
Religion,-35.58067908,18.449241,24.17881895,15.98552248,0.581075405,16,1
Religion,13.80828286,28.13222774,-8.938141604,26.75712903,0.634902193,17,1
Religion,-23.83504428,0.171887339,17.01684652,-1.14591559,0.580953065,18,1
Religion,-31.97104497,29.73650957,35.17960862,33.46073524,0.396709255,19,1
Religion,11.11538123,27.21549527,-7.964113352,29.79380535,0.995914449,20,1
Renaissance,-17.07414229,38.84653851,14.03746598,38.67465117,0.00325413,1,1
Renaissance,1.833464944,33.68991835,-0.744845134,34.43476349,0.464474441,2,1
Renaissance,27.90304462,34.49205927,-27.44467839,35.75256642,0.121750141,3,1
Renaissance,-23.7777485,21.88698777,14.553128,24.98095987,0.675589536,4,1
Renaissance,29.16355177,4.068000345,-14.49583222,10.59971921,0.569215871,5,1
Renaissance,30.1948758,0.974028252,-20.91295952,10.31324031,0.126172824,6,1
Renaissance,31.28349561,23.14749492,-27.9603404,22.74642447,0.488906209,7,1
Renaissance,23.83504428,21.94428355,-22.68912869,28.07493196,0.824601983,8,1
Renaissance,11.63104324,32.20022809,-20.05352283,33.11696056,0.613109666,9,1
Renaissance,-29.04896021,13.75098708,25.84039656,21.77239621,0.587558021,10,1
Renaissance,24.0642274,30.71053782,-12.89155039,33.74721413,0.215295459,11,1
Renaissance,-23.43397382,20.39729751,25.4393261,28.99166443,0.089093263,12,1
Renaissance,20.16811439,18.90760724,-11.51645168,20.45459329,0.566704552,13,1
Renaissance,23.66315694,31.22619983,-12.54777571,33.46073524,0.028855565,14,1
Renaissance,28.70518554,-2.062648062,-24.92366409,8.307888029,0.478878706,15,1
Renaissance,-31.79915763,27.15819949,25.78310078,27.61656573,0.751905953,16,1
Renaissance,35.58067908,18.16276211,-28.2468193,23.60586116,0.325453848,17,1
Renaissance,14.38124066,-3.093972094,-1.661577606,6.130648408,0.929503535,18,1
Renaissance,33.40343946,3.49504255,-27.55926995,13.92287442,0.648962951,19,1
Renaissance,-28.2468193,19.07949458,25.725805,25.03825565,0.986129683,20,1
Renaissance,-28.47600242,14.03746598,30.02298846,22.28805823,0.075812632,21,1
Renaissance,29.39273489,14.83960689,-25.66850922,21.37132576,0.788409272,22,1
Renaissance,16.04281826,8.594366927,-8.938141604,19.59515659,0.090033306,23,1
Renaissance,35.86715798,23.83504428,-27.55926995,29.39273489,0.361448926,24,1
Renaissance,39.01842585,23.7777485,-21.94428355,27.15819949,0.953801166,25,1
Renaissance,20.51188907,16.04281826,-13.86557864,25.03825565,0.596221263,26,1
Renaissance,21.2567342,24.29341051,-18.50653678,20.79836796,0.748229772,27,1
Renaissance,22.57453713,19.48056503,-11.91752214,21.71510044,0.595614978,28,1
Renaissance,40.10704566,26.2987628,-30.65324204,27.90304462,0.125514196,29,1
Renaissance,15.29797313,33.68991835,-3.609634109,33.2888479,0.723862235,30,1
Renaissance,-7.448451337,27.90304462,6.646310424,32.48670698,0.148057826,31,1
Renaissance,26.92901637,12.54777571,-16.5011845,16.5011845,0.699828597,32,1
Renaissance,6.531718864,42.2269895,-0.343774677,43.02913041,0.716295946,33,1
Renaissance,18.62112834,20.05352283,-4.469070802,21.2567342,0.713506909,34,1
Renaissance,-0.05729578,39.53408786,-0.802140913,35.5233833,0.569336632,35,1
Renaissance,27.9603404,9.740282517,-27.21549527,18.90760724,0.350517295,36,1
Renaissance,27.6738615,13.80828286,-16.95955074,22.57453713,0.669687081,37,1
Renaissance,13.00614195,16.90225496,-0.05729578,20.05352283,0.671066278,38,1
Renaissance,-3.380450991,26.06957968,2.692901637,24.29341051,0.163522614,39,1
Renaissance,25.32473454,28.2468193,-16.2147056,34.26287615,0.968593725,40,1
